Id,Checking_status,Duration,Credit_history,Purpose,Credit_amount,Savings_status,Employment,Installment_commitment,Personal_status,Other_parties,Residence_since,Property_magnitude,Age,Other_payment_plans,Housing,Existing_credits,Job,Num_dependents,Own_telephone,Foreign_worker,Class
602,0-200,9,existing paid,furniture/equipment,918,below 100,1-4,4,female div/dep/mar,none,1,life insurance,30,none,own,1,skilled,1,no,yes,bad
603,0-200,24,all paid,education,1837,below 100,4-7,4,female div/dep/mar,none,4,none,34,bank,for free,1,unskilled resident,1,no,yes,bad
604,above 200,36,existing paid,furniture/equipment,3349,below 100,1-4,4,female div/dep/mar,none,2,car,28,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
605,above 200,10,existing paid,furniture/equipment,1275,below 100,below 1,4,female div/dep/mar,none,2,life insurance,23,none,own,1,skilled,1,no,yes,good
606,above 200,24,all paid,furniture/equipment,2828,500-1000,1-4,4,male single,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,good
607,above 200,24,critical/other existing credit,business,4526,below 100,1-4,3,male single,none,2,real estate,74,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
608,0-200,36,existing paid,radio/tv,2671,100-500,1-4,4,female div/dep/mar,co applicant,4,none,50,none,for free,1,skilled,1,no,yes,bad
609,above 200,18,existing paid,radio/tv,2051,below 100,below 1,4,male single,none,1,real estate,33,none,own,1,skilled,1,no,yes,good
610,above 200,15,existing paid,used car,1300,0,above 7,4,male single,none,4,none,45,bank,for free,1,skilled,2,no,yes,good
611,above 200,12,existing paid,domestic appliance,741,100-500,0,4,female div/dep/mar,none,3,life insurance,22,none,own,1,skilled,1,no,yes,bad
612,above 200,10,existing paid,new car,1240,100-500,above 7,1,female div/dep/mar,none,4,none,48,none,for free,1,unskilled resident,2,no,yes,bad
613,above 200,21,existing paid,radio/tv,3357,above 1000,below 1,4,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,no,yes,good
614,above 200,24,all paid,used car,3632,below 100,1-4,1,female div/dep/mar,guarantor,4,car,22,bank,rent,1,skilled,1,no,no,good
615,above 200,18,delayed previously,furniture/equipment,1808,below 100,4-7,4,female div/dep/mar,none,1,real estate,22,none,own,1,skilled,1,no,yes,bad
616,0-200,48,no credits/all paid,business,12204,0,1-4,2,male single,none,2,car,48,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
617,0-200,60,delayed previously,radio/tv,9157,0,1-4,2,male single,none,2,none,27,none,for free,1,high qualif/self emp/mgmt,1,no,yes,good
618,above 200,6,critical/other existing credit,new car,3676,below 100,1-4,1,male single,none,3,real estate,37,none,rent,3,skilled,2,no,yes,good
619,0-200,30,existing paid,furniture/equipment,3441,100-500,1-4,2,female div/dep/mar,co applicant,4,car,21,none,rent,1,skilled,1,no,yes,bad
620,above 200,12,existing paid,new car,640,below 100,1-4,4,male div/sep,none,2,real estate,49,none,own,1,unskilled resident,1,no,yes,good
621,0-200,21,critical/other existing credit,business,3652,below 100,4-7,2,male single,none,3,life insurance,27,none,own,2,skilled,1,no,yes,good
622,above 200,18,critical/other existing credit,new car,1530,below 100,1-4,3,male single,none,2,life insurance,32,bank,own,2,skilled,1,no,yes,bad
623,above 200,48,existing paid,business,3914,0,1-4,4,male div/sep,none,2,real estate,38,bank,own,1,skilled,1,no,yes,bad
624,above 200,12,existing paid,furniture/equipment,1858,below 100,below 1,4,female div/dep/mar,none,1,car,22,none,rent,1,skilled,1,no,yes,good
625,above 200,18,existing paid,radio/tv,2600,below 100,1-4,4,male single,none,4,none,65,none,for free,2,skilled,1,no,yes,bad
626,above 200,15,existing paid,radio/tv,1979,0,above 7,4,male single,none,2,car,35,none,own,1,skilled,1,no,yes,good
627,above 200,6,existing paid,furniture/equipment,2116,below 100,1-4,2,male single,none,2,real estate,41,none,own,1,skilled,1,yes,yes,good
628,0-200,9,all paid,new car,1437,100-500,4-7,2,male single,none,3,none,29,none,own,1,skilled,1,no,yes,bad
629,above 200,42,critical/other existing credit,furniture/equipment,4042,500-1000,1-4,4,male single,none,4,real estate,36,none,own,2,skilled,1,yes,yes,good
630,above 200,9,existing paid,education,3832,0,above 7,1,male single,none,4,real estate,64,none,own,1,unskilled resident,1,no,yes,good
631,above 200,24,existing paid,radio/tv,3660,below 100,1-4,2,female div/dep/mar,none,4,car,28,none,own,1,skilled,1,no,yes,good
632,above 200,18,all paid,furniture/equipment,1553,below 100,1-4,4,male single,none,3,car,44,bank,own,1,skilled,1,no,yes,bad
633,0-200,15,existing paid,radio/tv,1444,0,below 1,4,male single,none,1,life insurance,23,none,own,1,skilled,1,no,yes,good
634,above 200,9,existing paid,furniture/equipment,1980,below 100,below 1,2,female div/dep/mar,co applicant,2,car,19,none,rent,2,skilled,1,no,yes,bad
635,0-200,24,existing paid,new car,1355,below 100,below 1,3,female div/dep/mar,none,4,car,25,none,own,1,unskilled resident,1,yes,yes,bad
636,above 200,12,existing paid,education,1393,below 100,above 7,4,male single,none,4,life insurance,47,bank,own,3,skilled,2,yes,yes,good
637,above 200,24,existing paid,radio/tv,1376,500-1000,4-7,4,female div/dep/mar,none,1,car,28,none,own,1,skilled,1,no,yes,good
638,above 200,60,delayed previously,radio/tv,15653,below 100,4-7,2,male single,none,4,car,21,none,own,2,skilled,1,yes,yes,good
639,above 200,12,existing paid,radio/tv,1493,below 100,below 1,4,female div/dep/mar,none,3,car,34,none,own,1,skilled,2,no,yes,good
640,above 200,42,delayed previously,radio/tv,4370,below 100,4-7,3,male single,none,2,life insurance,26,bank,own,2,skilled,2,yes,yes,bad
641,above 200,18,existing paid,education,750,below 100,0,4,female div/dep/mar,none,1,real estate,27,none,own,1,unemp/unskilled non res,1,no,yes,bad
642,0-200,15,existing paid,repairs,1308,below 100,above 7,4,male single,none,4,car,38,none,own,2,unskilled resident,1,no,yes,good
643,above 200,15,existing paid,education,4623,100-500,1-4,3,male single,none,2,life insurance,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
644,above 200,24,critical/other existing credit,radio/tv,1851,below 100,4-7,4,male mar/wid,guarantor,2,car,33,none,own,2,skilled,1,yes,yes,good
645,above 200,18,critical/other existing credit,radio/tv,1880,below 100,4-7,4,male mar/wid,none,1,life insurance,32,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
646,above 200,36,delayed previously,business,7980,0,below 1,4,male single,none,4,car,27,none,rent,2,skilled,1,yes,yes,bad
647,above 200,30,no credits/all paid,furniture/equipment,4583,below 100,1-4,2,male div/sep,guarantor,2,real estate,32,none,own,2,skilled,1,no,yes,good
648,above 200,12,existing paid,new car,1386,500-1000,1-4,2,female div/dep/mar,none,2,life insurance,26,none,own,1,skilled,1,no,yes,bad
649,above 200,24,existing paid,new car,947,below 100,4-7,4,male single,none,3,none,38,bank,for free,1,skilled,2,no,yes,bad
650,above 200,12,existing paid,education,684,below 100,1-4,4,male single,none,4,car,40,none,rent,1,unskilled resident,2,no,yes,bad
651,above 200,48,existing paid,education,7476,below 100,4-7,4,male single,none,1,none,50,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
652,0-200,12,existing paid,furniture/equipment,1922,below 100,1-4,4,male single,none,2,life insurance,37,none,own,1,unskilled resident,1,no,yes,bad
653,above 200,24,existing paid,new car,2303,below 100,above 7,4,male single,co applicant,1,real estate,45,none,own,1,skilled,1,no,yes,bad
654,0-200,36,delayed previously,new car,8086,100-500,above 7,2,male single,none,4,car,42,none,own,4,high qualif/self emp/mgmt,1,yes,yes,bad
655,above 200,24,critical/other existing credit,used car,2346,below 100,4-7,4,male single,none,3,car,35,none,own,2,skilled,1,yes,yes,good
656,above 200,14,existing paid,new car,3973,below 100,0,1,male single,none,4,none,22,none,for free,1,skilled,1,no,yes,good
657,0-200,12,existing paid,new car,888,below 100,above 7,4,male single,none,4,car,41,bank,own,1,unskilled resident,2,no,yes,bad
658,above 200,48,existing paid,radio/tv,10222,0,4-7,4,male single,none,3,car,37,stores,own,1,skilled,1,yes,yes,good
659,0-200,30,no credits/all paid,business,4221,below 100,1-4,2,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,no,yes,good
660,0-200,18,critical/other existing credit,furniture/equipment,6361,below 100,above 7,2,male single,none,1,none,41,none,own,1,skilled,1,yes,yes,good
661,above 200,12,existing paid,radio/tv,1297,below 100,1-4,3,male mar/wid,none,4,real estate,23,none,rent,1,skilled,1,no,yes,good
662,above 200,12,existing paid,new car,900,0,1-4,4,male mar/wid,none,2,car,23,none,own,1,skilled,1,no,yes,bad
663,above 200,21,existing paid,furniture/equipment,2241,below 100,above 7,4,male single,none,2,real estate,50,none,own,2,skilled,1,no,yes,good
664,0-200,6,delayed previously,furniture/equipment,1050,below 100,0,4,male single,none,1,life insurance,35,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
665,above 200,6,critical/other existing credit,education,1047,below 100,1-4,2,female div/dep/mar,none,4,life insurance,50,none,own,1,unskilled resident,1,no,yes,good
666,above 200,24,critical/other existing credit,other,6314,below 100,0,4,male single,co applicant,2,none,27,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
667,0-200,30,all paid,furniture/equipment,3496,above 1000,1-4,4,male single,none,2,car,34,stores,own,1,skilled,2,yes,yes,good
668,above 200,48,all paid,business,3609,below 100,1-4,1,female div/dep/mar,none,1,real estate,27,stores,own,1,skilled,1,no,yes,good
669,above 200,12,critical/other existing credit,new car,4843,below 100,above 7,3,male single,co applicant,4,life insurance,43,none,rent,2,skilled,1,yes,yes,bad
670,above 200,30,critical/other existing credit,radio/tv,3017,below 100,above 7,4,male single,none,4,life insurance,47,none,own,1,skilled,1,no,yes,good
671,above 200,24,critical/other existing credit,business,4139,100-500,1-4,3,male single,none,3,life insurance,27,none,own,2,unskilled resident,1,yes,yes,good
672,above 200,36,existing paid,business,5742,100-500,4-7,2,male single,none,2,car,31,none,own,2,skilled,1,yes,yes,good
673,above 200,60,existing paid,new car,10366,below 100,above 7,2,male single,none,4,life insurance,42,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
674,above 200,6,critical/other existing credit,new car,2080,500-1000,1-4,1,male mar/wid,none,2,car,24,none,own,1,skilled,1,no,yes,good
675,above 200,21,delayed previously,business,2580,500-1000,below 1,4,male single,none,2,real estate,41,bank,own,1,unskilled resident,2,no,yes,bad
676,above 200,30,critical/other existing credit,radio/tv,4530,below 100,4-7,4,female div/dep/mar,none,4,car,26,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
677,above 200,24,critical/other existing credit,furniture/equipment,5150,below 100,above 7,4,male single,none,4,car,33,none,own,1,skilled,1,yes,yes,good
678,0-200,72,existing paid,radio/tv,5595,100-500,1-4,2,male mar/wid,none,2,car,24,none,own,1,skilled,1,no,yes,bad
679,above 200,24,existing paid,radio/tv,2384,below 100,above 7,4,male single,none,4,real estate,64,bank,rent,1,unskilled resident,1,no,yes,good
680,above 200,18,existing paid,radio/tv,1453,below 100,below 1,3,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,no,yes,good
681,above 200,6,existing paid,education,1538,below 100,below 1,1,female div/dep/mar,none,2,none,56,none,own,1,skilled,1,no,yes,good
682,above 200,12,existing paid,radio/tv,2279,0,1-4,4,male single,none,4,none,37,none,for free,1,skilled,1,yes,yes,good
683,above 200,15,delayed previously,radio/tv,1478,below 100,1-4,4,male mar/wid,none,3,real estate,33,bank,own,2,skilled,1,no,yes,good
684,above 200,24,critical/other existing credit,radio/tv,5103,below 100,below 1,3,male mar/wid,none,3,none,47,none,for free,3,skilled,1,yes,yes,good
685,0-200,36,delayed previously,business,9857,100-500,4-7,1,male single,none,3,life insurance,31,none,own,2,unskilled resident,2,yes,yes,good
686,above 200,60,existing paid,new car,6527,0,1-4,4,male single,none,4,none,34,none,for free,1,skilled,2,yes,yes,good
687,above 200,10,critical/other existing credit,radio/tv,1347,0,4-7,4,male single,none,2,life insurance,27,none,own,2,skilled,1,yes,yes,good
688,0-200,36,delayed previously,new car,2862,100-500,above 7,4,male single,none,3,none,30,none,for free,1,skilled,1,no,yes,good
689,above 200,9,existing paid,radio/tv,2753,100-500,above 7,3,male single,co applicant,4,car,35,none,own,1,skilled,1,yes,yes,good
690,above 200,12,existing paid,new car,3651,above 1000,1-4,1,male single,none,3,life insurance,31,none,own,1,skilled,2,no,yes,good
691,above 200,15,critical/other existing credit,furniture/equipment,975,below 100,1-4,2,male div/sep,none,3,life insurance,25,none,own,2,skilled,1,no,yes,good
692,0-200,15,existing paid,repairs,2631,100-500,1-4,3,female div/dep/mar,none,2,real estate,25,none,own,1,unskilled resident,1,no,yes,good
693,0-200,24,existing paid,radio/tv,2896,100-500,below 1,2,male single,none,1,car,29,none,own,1,skilled,1,no,yes,good
694,above 200,6,critical/other existing credit,new car,4716,0,below 1,1,male single,none,3,real estate,44,none,own,2,unskilled resident,2,no,yes,good
695,above 200,24,existing paid,radio/tv,2284,below 100,4-7,4,male single,none,2,car,28,none,own,1,skilled,1,yes,yes,good
696,above 200,6,existing paid,used car,1236,500-1000,1-4,2,male single,none,4,life insurance,50,none,rent,1,skilled,1,no,yes,good
697,0-200,12,existing paid,radio/tv,1103,below 100,4-7,4,male single,guarantor,3,real estate,29,none,own,2,skilled,1,no,no,good
698,above 200,12,critical/other existing credit,new car,926,below 100,0,1,female div/dep/mar,none,2,life insurance,38,none,own,1,unemp/unskilled non res,1,no,yes,good
699,above 200,18,critical/other existing credit,radio/tv,1800,below 100,1-4,4,male single,none,2,car,24,none,own,2,skilled,1,no,yes,good
700,above 200,15,existing paid,education,1905,below 100,above 7,4,male single,none,4,car,40,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
701,above 200,12,existing paid,furniture/equipment,1123,500-1000,1-4,4,female div/dep/mar,none,4,car,29,none,rent,1,unskilled resident,1,no,yes,bad
702,above 200,48,critical/other existing credit,used car,6331,below 100,above 7,4,male single,none,4,none,46,none,for free,2,skilled,1,yes,yes,bad
703,above 200,24,existing paid,radio/tv,1377,100-500,above 7,4,female div/dep/mar,none,2,none,47,none,for free,1,skilled,1,yes,yes,good
704,0-200,30,delayed previously,business,2503,100-500,above 7,4,male single,none,2,life insurance,41,stores,own,2,skilled,1,no,yes,good
705,0-200,27,existing paid,business,2528,below 100,below 1,4,female div/dep/mar,none,1,life insurance,32,none,own,1,skilled,2,yes,yes,good
706,above 200,15,existing paid,new car,5324,500-1000,above 7,1,female div/dep/mar,none,4,none,35,none,for free,1,skilled,1,no,yes,good
707,0-200,48,existing paid,new car,6560,100-500,4-7,3,male single,none,2,life insurance,24,none,own,1,skilled,1,no,yes,bad
708,0-200,12,no credits/all paid,furniture/equipment,2969,below 100,below 1,4,female div/dep/mar,none,3,life insurance,25,none,rent,2,skilled,1,no,yes,bad
709,0-200,9,existing paid,radio/tv,1206,below 100,above 7,4,female div/dep/mar,none,4,real estate,25,none,own,1,skilled,1,no,yes,good
710,0-200,9,existing paid,radio/tv,2118,below 100,1-4,2,male single,none,2,real estate,37,none,own,1,unskilled resident,2,no,yes,good
711,above 200,18,critical/other existing credit,radio/tv,629,500-1000,above 7,4,male single,none,3,life insurance,32,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
712,above 200,6,all paid,education,1198,below 100,above 7,4,female div/dep/mar,none,4,none,35,none,for free,1,skilled,1,no,yes,bad
713,above 200,21,existing paid,used car,2476,0,above 7,4,male single,none,4,real estate,46,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
714,above 200,9,critical/other existing credit,radio/tv,1138,below 100,1-4,4,male single,none,4,real estate,25,none,own,2,unskilled resident,1,no,yes,good
715,0-200,60,existing paid,new car,14027,below 100,4-7,4,male single,none,2,none,27,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
716,above 200,30,critical/other existing credit,used car,7596,0,above 7,1,male single,none,4,car,63,none,own,2,skilled,1,no,yes,good
717,above 200,30,critical/other existing credit,radio/tv,3077,0,above 7,3,male single,none,2,car,40,none,own,2,skilled,2,yes,yes,good
718,above 200,18,existing paid,radio/tv,1505,below 100,1-4,4,male single,none,2,none,32,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
719,above 200,24,critical/other existing credit,radio/tv,3148,0,1-4,3,male single,none,2,car,31,none,own,2,skilled,1,yes,yes,good
720,0-200,20,no credits/all paid,used car,6148,100-500,above 7,3,male mar/wid,none,4,car,31,bank,own,2,skilled,1,yes,yes,good
721,above 200,9,no credits/all paid,radio/tv,1337,below 100,below 1,4,male single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
722,0-200,6,all paid,education,433,above 1000,below 1,4,female div/dep/mar,none,2,life insurance,24,bank,rent,1,skilled,2,no,yes,bad
723,above 200,12,existing paid,new car,1228,below 100,1-4,4,female div/dep/mar,none,2,real estate,24,none,own,1,unskilled resident,1,no,yes,bad
724,0-200,9,existing paid,radio/tv,790,500-1000,1-4,4,female div/dep/mar,none,3,real estate,66,none,own,1,unskilled resident,1,no,yes,good
725,above 200,27,existing paid,new car,2570,below 100,1-4,3,female div/dep/mar,none,3,real estate,21,none,rent,1,skilled,1,no,yes,bad
726,above 200,6,critical/other existing credit,new car,250,above 1000,1-4,2,female div/dep/mar,none,2,real estate,41,bank,own,2,unskilled resident,1,no,yes,good
727,above 200,15,critical/other existing credit,radio/tv,1316,500-1000,1-4,2,male mar/wid,none,2,life insurance,47,none,own,2,unskilled resident,1,no,yes,good
728,above 200,18,existing paid,radio/tv,1882,below 100,1-4,4,female div/dep/mar,none,4,car,25,bank,rent,2,skilled,1,no,yes,bad
729,0-200,48,all paid,business,6416,below 100,above 7,4,female div/dep/mar,none,3,none,59,none,rent,1,skilled,1,no,yes,bad
730,above 200,24,critical/other existing credit,business,1275,above 1000,1-4,2,male div/sep,none,4,real estate,36,none,own,2,skilled,1,yes,yes,good
731,0-200,24,delayed previously,radio/tv,6403,below 100,below 1,1,male single,none,2,car,33,none,own,1,skilled,1,no,yes,good
732,above 200,24,existing paid,radio/tv,1987,below 100,1-4,2,male single,none,4,real estate,21,none,rent,1,unskilled resident,2,no,yes,bad
733,0-200,8,existing paid,radio/tv,760,below 100,4-7,4,female div/dep/mar,guarantor,2,real estate,44,none,own,1,unskilled resident,1,no,yes,good
734,above 200,24,existing paid,used car,2603,above 1000,1-4,2,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,yes,yes,good
735,above 200,4,critical/other existing credit,new car,3380,below 100,4-7,1,female div/dep/mar,none,1,real estate,37,none,own,1,skilled,2,no,yes,good
736,0-200,36,all paid,domestic appliance,3990,0,below 1,3,female div/dep/mar,none,2,none,29,bank,own,1,unemp/unskilled non res,1,no,yes,good
737,0-200,24,existing paid,used car,11560,below 100,1-4,1,female div/dep/mar,none,4,car,23,none,rent,2,high qualif/self emp/mgmt,1,no,yes,bad
738,above 200,18,existing paid,new car,4380,100-500,1-4,3,male single,none,4,car,35,none,own,1,unskilled resident,2,yes,yes,good
739,above 200,6,critical/other existing credit,new car,6761,below 100,4-7,1,male single,none,3,none,45,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good
740,0-200,30,no credits/all paid,business,4280,100-500,1-4,4,female div/dep/mar,none,4,car,26,none,rent,2,unskilled resident,1,no,yes,bad
741,above 200,24,all paid,new car,2325,100-500,4-7,2,male single,none,3,car,32,bank,own,1,skilled,1,no,yes,good
742,0-200,10,all paid,radio/tv,1048,below 100,1-4,4,male single,none,4,real estate,23,stores,own,1,unskilled resident,1,no,yes,good
743,above 200,21,existing paid,radio/tv,3160,0,above 7,4,male single,none,3,life insurance,41,none,own,1,skilled,1,yes,yes,good
744,above 200,24,all paid,furniture/equipment,2483,500-1000,1-4,4,male single,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,good
745,above 200,39,critical/other existing credit,furniture/equipment,14179,0,4-7,4,male single,none,4,life insurance,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
746,above 200,13,critical/other existing credit,business,1797,below 100,below 1,3,male single,none,1,life insurance,28,bank,own,2,unskilled resident,1,no,yes,good
747,above 200,15,existing paid,new car,2511,below 100,0,1,female div/dep/mar,none,4,car,23,none,rent,1,skilled,1,no,yes,good
748,above 200,12,existing paid,new car,1274,below 100,below 1,3,female div/dep/mar,none,1,real estate,37,none,own,1,unskilled resident,1,no,yes,bad
749,above 200,21,existing paid,used car,5248,0,1-4,1,male single,none,3,car,26,none,own,1,skilled,1,no,yes,good
750,above 200,15,existing paid,used car,3029,below 100,4-7,2,male single,none,2,car,33,none,own,1,skilled,1,no,yes,good
751,above 200,6,existing paid,furniture/equipment,428,below 100,above 7,2,female div/dep/mar,none,1,life insurance,49,bank,own,1,skilled,1,yes,yes,good
752,above 200,18,existing paid,new car,976,below 100,below 1,1,female div/dep/mar,none,2,car,23,none,own,1,unskilled resident,1,no,yes,bad
753,0-200,12,existing paid,business,841,100-500,4-7,2,female div/dep/mar,none,4,real estate,23,none,rent,1,unskilled resident,1,no,yes,good
754,above 200,30,critical/other existing credit,radio/tv,5771,below 100,4-7,4,female div/dep/mar,none,2,car,25,none,own,2,skilled,1,no,yes,good
755,above 200,12,delayed previously,repairs,1555,above 1000,above 7,4,male single,none,4,none,55,none,for free,2,skilled,2,no,yes,bad
756,above 200,24,existing paid,new car,1285,0,4-7,4,female div/dep/mar,none,4,none,32,none,rent,1,skilled,1,no,yes,bad
757,above 200,6,critical/other existing credit,new car,1299,below 100,1-4,1,male single,none,1,real estate,74,none,own,3,unemp/unskilled non res,2,no,no,good
758,above 200,15,critical/other existing credit,radio/tv,1271,0,1-4,3,male single,none,4,none,39,none,for free,2,skilled,1,yes,yes,bad
759,above 200,24,existing paid,new car,1393,below 100,1-4,2,male single,guarantor,2,real estate,31,none,own,1,skilled,1,yes,yes,good
760,above 200,12,critical/other existing credit,new car,691,below 100,above 7,4,male single,none,3,life insurance,35,none,own,2,skilled,1,no,yes,bad
761,above 200,15,critical/other existing credit,new car,5045,0,above 7,1,female div/dep/mar,none,4,car,59,none,own,1,skilled,1,yes,yes,good
762,above 200,18,critical/other existing credit,furniture/equipment,2124,below 100,1-4,4,female div/dep/mar,none,4,real estate,24,none,rent,2,skilled,1,no,yes,bad
763,above 200,12,existing paid,radio/tv,2214,below 100,1-4,4,male single,none,3,life insurance,24,none,own,1,unskilled resident,1,no,yes,good
764,above 200,21,critical/other existing credit,new car,12680,0,above 7,4,male single,none,4,none,30,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
765,above 200,24,critical/other existing credit,new car,2463,100-500,4-7,4,male mar/wid,none,3,life insurance,27,none,own,2,skilled,1,yes,yes,good
766,0-200,12,existing paid,radio/tv,1155,below 100,above 7,3,male mar/wid,guarantor,3,real estate,40,bank,own,2,unskilled resident,1,no,yes,good
767,above 200,30,existing paid,furniture/equipment,3108,below 100,below 1,2,male div/sep,none,4,life insurance,31,none,own,1,unskilled resident,1,no,yes,bad
768,above 200,10,existing paid,used car,2901,0,below 1,1,female div/dep/mar,none,4,real estate,31,none,rent,1,skilled,1,no,yes,good
769,0-200,12,critical/other existing credit,furniture/equipment,3617,below 100,above 7,1,male single,none,4,car,28,none,rent,3,skilled,1,yes,yes,good
770,above 200,12,critical/other existing credit,radio/tv,1655,below 100,above 7,2,male single,none,4,real estate,63,none,own,2,unskilled resident,1,yes,yes,good
771,above 200,24,existing paid,used car,2812,0,above 7,2,female div/dep/mar,none,4,real estate,26,none,rent,1,skilled,1,no,yes,good
772,above 200,36,critical/other existing credit,education,8065,below 100,1-4,3,female div/dep/mar,none,2,none,25,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
773,above 200,21,critical/other existing credit,used car,3275,below 100,above 7,1,male single,none,4,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
774,above 200,24,critical/other existing credit,radio/tv,2223,100-500,above 7,4,male single,none,4,life insurance,52,bank,own,2,skilled,1,no,yes,good
775,above 200,12,critical/other existing credit,new car,1480,500-1000,0,2,male single,none,4,none,66,bank,for free,3,unemp/unskilled non res,1,no,yes,good
776,above 200,24,existing paid,new car,1371,0,1-4,4,female div/dep/mar,none,4,real estate,25,none,rent,1,skilled,1,no,yes,bad
777,above 200,36,critical/other existing credit,new car,3535,below 100,4-7,4,male single,none,4,car,37,none,own,2,skilled,1,yes,yes,good
778,above 200,18,existing paid,radio/tv,3509,below 100,4-7,4,female div/dep/mar,guarantor,1,real estate,25,none,own,1,skilled,1,no,yes,good
779,above 200,36,critical/other existing credit,used car,5711,above 1000,above 7,4,male single,none,2,car,38,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
780,0-200,18,existing paid,repairs,3872,below 100,0,2,female div/dep/mar,none,4,car,67,none,own,1,skilled,1,yes,yes,good
781,0-200,39,critical/other existing credit,radio/tv,4933,below 100,4-7,2,male single,guarantor,2,real estate,25,none,own,2,skilled,1,no,yes,bad
782,above 200,24,critical/other existing credit,new car,1940,above 1000,above 7,4,male single,none,4,real estate,60,none,own,1,skilled,1,yes,yes,good
783,0-200,12,no credits/all paid,retraining,1410,below 100,1-4,2,male single,none,2,real estate,31,none,own,1,unskilled resident,1,yes,yes,good
784,0-200,12,existing paid,new car,836,100-500,below 1,4,female div/dep/mar,none,2,life insurance,23,bank,own,1,unskilled resident,1,no,yes,bad
785,0-200,20,existing paid,used car,6468,0,0,1,male div/sep,none,4,real estate,60,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
786,0-200,18,existing paid,business,1941,above 1000,1-4,4,male single,none,2,life insurance,35,none,own,1,unskilled resident,1,yes,yes,good
787,above 200,22,existing paid,radio/tv,2675,500-1000,above 7,3,male single,none,4,car,40,none,own,1,skilled,1,no,yes,good
788,above 200,48,critical/other existing credit,used car,2751,0,above 7,4,male single,none,3,car,38,none,own,2,skilled,2,yes,yes,good
789,0-200,48,delayed previously,education,6224,below 100,above 7,4,male single,none,4,none,50,none,for free,1,skilled,1,no,yes,bad
790,above 200,40,critical/other existing credit,education,5998,below 100,1-4,4,male single,none,3,none,27,bank,own,1,skilled,1,yes,yes,bad
791,0-200,21,existing paid,business,1188,below 100,above 7,2,female div/dep/mar,none,4,life insurance,39,none,own,1,skilled,2,no,yes,bad
792,above 200,24,existing paid,used car,6313,0,above 7,3,male single,none,4,car,41,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
793,above 200,6,critical/other existing credit,furniture/equipment,1221,0,1-4,1,male mar/wid,none,2,life insurance,27,none,own,2,skilled,1,no,yes,good
794,above 200,24,existing paid,furniture/equipment,2892,below 100,above 7,3,male div/sep,none,4,none,51,none,for free,1,skilled,1,no,yes,good
795,above 200,24,existing paid,furniture/equipment,3062,500-1000,above 7,4,male single,none,3,none,32,none,rent,1,skilled,1,yes,yes,good
796,above 200,9,existing paid,furniture/equipment,2301,100-500,below 1,2,female div/dep/mar,none,4,life insurance,22,none,rent,1,skilled,1,no,yes,good
797,above 200,18,existing paid,used car,7511,0,above 7,1,male single,none,4,life insurance,51,none,for free,1,skilled,2,yes,yes,bad
798,above 200,12,critical/other existing credit,furniture/equipment,1258,below 100,below 1,2,female div/dep/mar,none,4,life insurance,22,none,rent,2,unskilled resident,1,no,yes,good
799,above 200,24,delayed previously,new car,717,0,above 7,4,male mar/wid,none,4,car,54,none,own,2,skilled,1,yes,yes,good
800,0-200,9,existing paid,new car,1549,0,below 1,4,male single,none,2,real estate,35,none,own,1,unemp/unskilled non res,1,no,yes,good
801,above 200,24,critical/other existing credit,education,1597,below 100,above 7,4,male single,none,4,none,54,none,for free,2,skilled,2,no,yes,good
802,0-200,18,critical/other existing credit,radio/tv,1795,below 100,above 7,3,female div/dep/mar,guarantor,4,real estate,48,bank,rent,2,unskilled resident,1,yes,yes,good
